game_pk,game_date,hitter_name
718617,2023-04-11,Trey Mancini
718617,2023-04-11,Eugenio Suarez
718616,2023-04-11,Luis Robert Jr.
718616,2023-04-11,Michael A. Taylor
718616,2023-04-11,Byron Buxton
718615,2023-04-12,Jonah Heim
718613,2023-04-12,Nolan Gorman
718613,2023-04-12,C.J. Cron
718613,2023-04-12,Ryan McMahon
718613,2023-04-12,Elias Diaz
718613,2023-04-12,Juan Yepez
718613,2023-04-12,Tommy Edman
718614,2023-04-12,Logan O'Hoppe
718611,2023-04-12,Mike Brosseau
718611,2023-04-12,Rowdy Tellez
718611,2023-04-12,Willy Adames
718624,2023-04-12,Brandon Crawford
718624,2023-04-12,David Villar
718608,2023-04-12,Alex Bregman
718608,2023-04-12,Corey Julks
718610,2023-04-12,Pete Alonso
718610,2023-04-12,Francisco Lindor
718610,2023-04-12,Juan Soto
718605,2023-04-12,Lenyn Sosa
718604,2023-04-12,Franchy Cordero
718604,2023-04-12,Amed Rosario
718606,2023-04-12,Cody Bellinger
718606,2023-04-12,Jarred Kelenic
718606,2023-04-12,Teoscar Hernandez
718607,2023-04-12,Nolan Gorman
718607,2023-04-12,Nolan Arenado
718607,2023-04-12,Tyler O'Neill
718607,2023-04-12,Jurickson Profar
718598,2023-04-12,Corbin Carroll
718598,2023-04-12,Lourdes Gurriel Jr.
718609,2023-04-12,Jorge Soler
718602,2023-04-12,NA
718599,2023-04-12,Carlos Perez
718599,2023-04-12,Brent Rooker
718600,2023-04-12,Rafael Devers
718600,2023-04-12,Randy Arozarena
718603,2023-04-12,Kerry Carpenter
718603,2023-04-12,Nick Maton
718601,2023-04-12,Eddie Rosario
718595,2023-04-13,Vinnie Pasquantino
718595,2023-04-13,Nathaniel Lowe
718612,2023-04-13,Thairo Estrada
718612,2023-04-13,Trayce Thompson
718612,2023-04-13,Max Muncy
718612,2023-04-13,Max Muncy
718596,2023-04-13,Adley Rutschman
718596,2023-04-13,Brent Rooker
718596,2023-04-13,Ryan Mountcastle
718596,2023-04-13,Brent Rooker
718594,2023-04-13,Brandon Lowe
718594,2023-04-13,Yandy Diaz
718594,2023-04-13,Rob Refsnyder
718597,2023-04-13,Kyle Schwarber
718590,2023-04-13,Anthony Rizzo
718590,2023-04-13,Anthony Rizzo
718590,2023-04-13,Michael A. Taylor
718590,2023-04-13,Carlos Correa
718590,2023-04-13,Edouard Julien
718590,2023-04-13,Michael A. Taylor
718593,2023-04-13,NA
718591,2023-04-13,Rodolfo Castro
718591,2023-04-13,Connor Joe
718589,2023-04-14,Trent Grisham
718589,2023-04-14,Mike Brosseau
718589,2023-04-14,Manny Machado
718589,2023-04-14,Rowdy Tellez
718585,2023-04-14,Nick Maton
718585,2023-04-14,J.D. Davis
718585,2023-04-14,Thairo Estrada
718586,2023-04-14,Edmundo Sosa
718584,2023-04-14,NA
718592,2023-04-14,Josh Bell
718592,2023-04-14,Luis Garcia
718588,2023-04-14,Kyle Garlick
718588,2023-04-14,Giancarlo Stanton
718588,2023-04-14,Carlos Correa
718588,2023-04-14,Aaron Judge
718588,2023-04-14,Anthony Volpe
718587,2023-04-14,Christian Bethancourt
718587,2023-04-14,Josh Lowe
718587,2023-04-14,George Springer
718580,2023-04-14,Rafael Devers
718583,2023-04-14,Jake Burger
718581,2023-04-15,Martin Maldonado
718581,2023-04-15,Yordan Alvarez
718581,2023-04-15,Adolis Garcia
718579,2023-04-15,Ronald Acuna Jr.
718579,2023-04-15,Sean Murphy
718579,2023-04-15,Sam Hilliard
718579,2023-04-15,Austin Riley
718579,2023-04-15,Matt Olson
718582,2023-04-14,NA
718578,2023-04-15,Brent Rooker
718578,2023-04-15,Aledmys Diaz
718578,2023-04-15,Shea Langeliers
718578,2023-04-15,Francisco Lindor
718574,2023-04-15,Rowdy Tellez
718574,2023-04-15,Luis Campusano
718574,2023-04-15,Rowdy Tellez
718574,2023-04-15,Christian Yelich
718575,2023-04-15,Yan Gomes
718575,2023-04-15,Patrick Wisdom
718575,2023-04-15,Seiya Suzuki
718575,2023-04-15,Ian Happ
718575,2023-04-15,Max Muncy
718575,2023-04-15,Yan Gomes
718575,2023-04-15,Chris Taylor
718577,2023-04-15,Jarred Kelenic
718577,2023-04-15,Kris Bryant
718572,2023-04-15,Anthony Rizzo
718572,2023-04-15,Kyle Higashioka
718571,2023-04-15,J.D. Davis
718571,2023-04-15,Kerry Carpenter
718571,2023-04-15,Blake Sabol
718570,2023-04-15,Jake Burger
718570,2023-04-15,Anthony Santander
718570,2023-04-15,Jorge Mateo
718568,2023-04-15,Andrew McCutchen
718568,2023-04-15,Ke'Bryan Hayes
718569,2023-04-15,Taylor Walls
718573,2023-04-15,Jose Ramirez
718560,2023-04-15,Jake Cronenworth
718560,2023-04-15,Jake Cronenworth
718565,2023-04-15,Mark Canha
718565,2023-04-15,Pete Alonso
718576,2023-04-15,Yu Chang
718576,2023-04-15,Rafael Devers
718576,2023-04-15,Gio Urshela
718566,2023-04-15,Wil Myers
718566,2023-04-15,Wil Myers
718563,2023-04-15,Sean Murphy
718567,2023-04-15,Garrett Hampson
718562,2023-04-15,NA
718564,2023-04-16,Patrick Wisdom
718561,2023-04-16,Eugenio Suarez
718559,2023-04-16,Justin Turner
718555,2023-04-16,Luis Garcia
718555,2023-04-16,Jeimer Candelario
718557,2023-04-16,DJ LeMahieu
718556,2023-04-16,Christian Bethancourt
718554,2023-04-16,J.T. Realmuto
718554,2023-04-16,Bryson Stott
718550,2023-04-16,Corbin Carroll
718551,2023-04-16,Vinnie Pasquantino
718551,2023-04-16,Ozzie Albies
718553,2023-04-16,Jake Burger
718553,2023-04-16,Gavin Sheets
718548,2023-04-16,Lars Nootbaar
718546,2023-04-16,Pete Alonso
718546,2023-04-16,Francisco Lindor
718546,2023-04-16,Tommy Pham
718547,2023-04-16,Cody Bellinger
718547,2023-04-16,Patrick Wisdom
718547,2023-04-16,Chris Taylor
718545,2023-04-16,NA
718549,2023-04-16,NA
718552,2023-04-16,Marcus Semien
718540,2023-04-17,Hunter Renfroe
718542,2023-04-17,Josh Lowe
718542,2023-04-17,Kevin Newman
718544,2023-04-17,Jorge Soler
718539,2023-04-17,Marcus Semien
718539,2023-04-17,Josh Jung
718538,2023-04-17,Alec Burleson
718538,2023-04-17,Pavin Smith
718538,2023-04-17,Ketel Marte
718537,2023-04-18,Santiago Espinal
718537,2023-04-18,Corey Julks
718537,2023-04-18,Matt Chapman
718537,2023-04-18,Jake Meyers
718535,2023-04-18,Jack Suwinski
718535,2023-04-18,Kris Bryant
718535,2023-04-18,Andrew McCutchen
718536,2023-04-18,Patrick Wisdom
718536,2023-04-18,Patrick Wisdom
718533,2023-04-18,Austin Riley
718534,2023-04-18,Julio Rodriguez
718534,2023-04-18,Brice Turang
718534,2023-04-18,Cal Raleigh
718532,2023-04-18,Max Muncy
718532,2023-04-18,Freddie Freeman
718532,2023-04-18,Daniel Vogelbach
718532,2023-04-18,Freddie Freeman
718541,2023-04-18,Riley Greene
718543,2023-04-18,Jake Burger
718530,2023-04-18,Kerry Carpenter
718530,2023-04-18,Oscar Gonzalez
718541,2023-04-18,Riley Greene
718525,2023-04-18,Josh Harrison
718543,2023-04-18,Jake Burger
718526,2023-04-18,Taylor Walls
718526,2023-04-18,Randy Arozarena
718526,2023-04-18,Yandy Diaz
718526,2023-04-18,Taylor Walls
718528,2023-04-18,Jazz Chisholm Jr.
718528,2023-04-18,Mike Yastrzemski
718531,2023-04-18,NA
718529,2023-04-18,Shohei Ohtani
718524,2023-04-18,Max Kepler
718522,2023-04-18,Adolis Garcia
718522,2023-04-18,Marcus Semien
718527,2023-04-18,Willson Contreras
718527,2023-04-18,Willson Contreras
718527,2023-04-18,Gabriel Moreno
718527,2023-04-18,Paul Goldschmidt
718520,2023-04-19,Matt Chapman
718520,2023-04-19,Vladimir Guerrero Jr.
718521,2023-04-19,Jack Suwinski
718521,2023-04-19,Jack Suwinski
718521,2023-04-19,Kris Bryant
718523,2023-04-18,NA
718519,2023-04-19,Matt Olson
718519,2023-04-19,Ozzie Albies
718519,2023-04-19,Sean Murphy
718517,2023-04-19,Willy Adames
718517,2023-04-19,Christian Yelich
718516,2023-04-19,J.D. Martinez
718516,2023-04-19,J.D. Martinez
718515,2023-04-19,Yandy Diaz
718513,2023-04-19,Zach McKinstry
718513,2023-04-19,Spencer Torkelson
718513,2023-04-19,Jose Ramirez
718511,2023-04-19,Mike Yastrzemski
718511,2023-04-19,Michael Conforto
718512,2023-04-19,Nolan Gorman
718512,2023-04-19,Pavin Smith
718512,2023-04-19,Tommy Edman
718512,2023-04-19,Alek Thomas
718514,2023-04-19,Jonah Heim
718514,2023-04-19,Bobby Witt Jr.
718510,2023-04-19,Brandon Marsh
718510,2023-04-19,Andrew Vaughn
718510,2023-04-19,Trea Turner
718508,2023-04-19,David Peralta
718508,2023-04-19,Brandon Nimmo
718509,2023-04-19,Rodolfo Castro
718509,2023-04-19,Andrew McCutchen
718506,2023-04-19,Eric Hosmer
718507,2023-04-19,Juan Soto
718502,2023-04-19,Julio Rodriguez
718518,2023-04-19,Adam Frazier
718504,2023-04-19,Aaron Judge
718505,2023-04-19,Enrique Hernandez
718505,2023-04-19,Trevor Larnach
718505,2023-04-19,Joey Gallo
718505,2023-04-19,Edouard Julien
718501,2023-04-20,Jeremy Pena
718497,2023-04-20,Willi Castro
718497,2023-04-20,Yu Chang
718497,2023-04-20,Alex Verdugo
718496,2023-04-20,NA
718500,2023-04-20,Jack Suwinski
718500,2023-04-20,Connor Joe
718498,2023-04-20,C.J. Cron
718499,2023-04-20,James Outman
718499,2023-04-20,James Outman
718499,2023-04-20,Cody Bellinger
718499,2023-04-20,Max Muncy
718494,2023-04-21,Matt Carpenter
718494,2023-04-21,Xander Bogaerts
718503,2023-04-21,Jeff McNeil
718503,2023-04-21,LaMonte Wade Jr.
718503,2023-04-21,Blake Sabol
718503,2023-04-21,Eduardo Escobar
718503,2023-04-21,Pete Alonso
718491,2023-04-21,Nico Hoerner
718491,2023-04-21,Patrick Wisdom
718491,2023-04-21,Trey Mancini
718491,2023-04-21,Cody Bellinger
718492,2023-04-21,NA
718486,2023-04-21,Brandon Lowe
718486,2023-04-21,Christian Bethancourt
718486,2023-04-21,Eloy Jimenez
718486,2023-04-21,Harold Ramirez
718495,2023-04-21,Austin Hays
718493,2023-04-21,Kyle Schwarber
718493,2023-04-21,Ryan McMahon
718487,2023-04-21,Brandon Belt
718487,2023-04-21,Oswaldo Cabrera
718487,2023-04-21,Vladimir Guerrero Jr.
718489,2023-04-21,Yordan Alvarez
718490,2023-04-22,Jordan Diaz
718490,2023-04-22,Tony Kemp
718490,2023-04-22,Jonah Heim
718482,2023-04-22,Joey Meneses
718482,2023-04-22,Joey Gallo
718483,2023-04-22,Rowdy Tellez
718483,2023-04-22,Alex Verdugo
718485,2023-04-22,Chad Wallach
718484,2023-04-21,NA
718481,2023-04-22,Teoscar Hernandez
718480,2023-04-22,Pete Alonso
718488,2023-04-22,NA
718476,2023-04-22,Danny Jansen
718476,2023-04-22,Anthony Volpe
718468,2023-04-22,CJ Abrams
718468,2023-04-22,Byron Buxton
718479,2023-04-22,James Outman
718479,2023-04-22,Max Muncy
718479,2023-04-22,Nico Hoerner
718479,2023-04-22,Max Muncy
718479,2023-04-22,James Outman
718475,2023-04-22,Nick Castellanos
718475,2023-04-22,Cristian Pache
718475,2023-04-22,Nick Castellanos
718473,2023-04-22,Bryan De La Cruz
718488,2023-04-22,NA
718478,2023-04-22,Wilmer Flores
718478,2023-04-22,Brandon Nimmo
718478,2023-04-22,Brandon Crawford
718477,2023-04-22,Gavin Sheets
718477,2023-04-22,Yasmani Grandal
718477,2023-04-22,Eloy Jimenez
718477,2023-04-22,Randy Arozarena
718474,2023-04-22,NA
718472,2023-04-22,Zach McKinstry
718472,2023-04-22,James McCann
718469,2023-04-22,Ezequiel Duran
718469,2023-04-22,Jesus Aguilar
718469,2023-04-22,Adolis Garcia
