game_pk,date,away_team,home_team,first_score
718566,2023-04-15,Philadelphia Phillies,Cincinnati Reds,Cincinnati Reds
718563,2023-04-15,Atlanta Braves,Kansas City Royals,Atlanta Braves
718567,2023-04-15,Arizona Diamondbacks,Miami Marlins,Arizona Diamondbacks
718562,2023-04-15,Texas Rangers,Houston Astros,Texas Rangers
718564,2023-04-15,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs
718561,2023-04-15,Colorado Rockies,Seattle Mariners,Colorado Rockies
718559,2023-04-16,Los Angeles Angels,Boston Red Sox,Los Angeles Angels
718555,2023-04-16,Cleveland Guardians,Washington Nationals,Washington Nationals
718557,2023-04-16,Minnesota Twins,New York Yankees,New York Yankees
718556,2023-04-16,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays
718554,2023-04-16,Philadelphia Phillies,Cincinnati Reds,Philadelphia Phillies
718550,2023-04-16,Arizona Diamondbacks,Miami Marlins,Arizona Diamondbacks
718551,2023-04-16,Atlanta Braves,Kansas City Royals,Atlanta Braves
718553,2023-04-16,Baltimore Orioles,Chicago White Sox,Chicago White Sox
718548,2023-04-16,Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh Pirates
718546,2023-04-16,New York Mets,Oakland Athletics,New York Mets
718547,2023-04-16,Chicago Cubs,Los Angeles Dodgers,Los Angeles Dodgers
718545,2023-04-16,Colorado Rockies,Seattle Mariners,Seattle Mariners
718549,2023-04-16,Milwaukee Brewers,San Diego Padres,Milwaukee Brewers
718552,2023-04-16,Texas Rangers,Houston Astros,Texas Rangers
718540,2023-04-17,Los Angeles Angels,Boston Red Sox,Los Angeles Angels
718542,2023-04-17,Tampa Bay Rays,Cincinnati Reds,Cincinnati Reds
718544,2023-04-17,San Francisco Giants,Miami Marlins,San Francisco Giants
718539,2023-04-17,Texas Rangers,Kansas City Royals,Texas Rangers
718538,2023-04-17,Arizona Diamondbacks,St. Louis Cardinals,Arizona Diamondbacks
718537,2023-04-17,Toronto Blue Jays,Houston Astros,Houston Astros
718535,2023-04-17,Pittsburgh Pirates,Colorado Rockies,Pittsburgh Pirates
718536,2023-04-17,Chicago Cubs,Oakland Athletics,Oakland Athletics
718533,2023-04-17,Atlanta Braves,San Diego Padres,Atlanta Braves
718534,2023-04-17,Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers
718532,2023-04-17,New York Mets,Los Angeles Dodgers,Los Angeles Dodgers
718541,2023-04-18,Cleveland Guardians,Detroit Tigers,Detroit Tigers
718543,2023-04-18,Philadelphia Phillies,Chicago White Sox,Chicago White Sox
718530,2023-04-18,Cleveland Guardians,Detroit Tigers,Detroit Tigers
718541,2023-04-18,Cleveland Guardians,Detroit Tigers,Detroit Tigers
718525,2023-04-18,Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies
718543,2023-04-18,Philadelphia Phillies,Chicago White Sox,Chicago White Sox
718526,2023-04-18,Tampa Bay Rays,Cincinnati Reds,Tampa Bay Rays
718528,2023-04-18,San Francisco Giants,Miami Marlins,San Francisco Giants
718531,2023-04-18,Baltimore Orioles,Washington Nationals,Baltimore Orioles
718529,2023-04-18,Los Angeles Angels,New York Yankees,Los Angeles Angels
718524,2023-04-18,Minnesota Twins,Boston Red Sox,Boston Red Sox
718522,2023-04-18,Texas Rangers,Kansas City Royals,Kansas City Royals
718527,2023-04-18,Arizona Diamondbacks,St. Louis Cardinals,St. Louis Cardinals
718520,2023-04-18,Toronto Blue Jays,Houston Astros,Toronto Blue Jays
718521,2023-04-18,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies
718523,2023-04-18,Chicago Cubs,Oakland Athletics,Chicago Cubs
718519,2023-04-18,Atlanta Braves,San Diego Padres,Atlanta Braves
718517,2023-04-18,Milwaukee Brewers,Seattle Mariners,Milwaukee Brewers
718516,2023-04-18,New York Mets,Los Angeles Dodgers,Los Angeles Dodgers
718515,2023-04-19,Tampa Bay Rays,Cincinnati Reds,Tampa Bay Rays
718513,2023-04-19,Cleveland Guardians,Detroit Tigers,Cleveland Guardians
718511,2023-04-19,San Francisco Giants,Miami Marlins,San Francisco Giants
718512,2023-04-19,Arizona Diamondbacks,St. Louis Cardinals,St. Louis Cardinals
718514,2023-04-19,Texas Rangers,Kansas City Royals,Texas Rangers
718510,2023-04-19,Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies
718508,2023-04-19,New York Mets,Los Angeles Dodgers,Los Angeles Dodgers
718509,2023-04-19,Pittsburgh Pirates,Colorado Rockies,Pittsburgh Pirates
718506,2023-04-19,Chicago Cubs,Oakland Athletics,Chicago Cubs
718507,2023-04-19,Atlanta Braves,San Diego Padres,San Diego Padres
718502,2023-04-19,Milwaukee Brewers,Seattle Mariners,Seattle Mariners
718518,2023-04-19,Baltimore Orioles,Washington Nationals,Baltimore Orioles
718504,2023-04-19,Los Angeles Angels,New York Yankees,New York Yankees
718505,2023-04-19,Minnesota Twins,Boston Red Sox,Minnesota Twins
718501,2023-04-19,Toronto Blue Jays,Houston Astros,Houston Astros
718497,2023-04-20,Minnesota Twins,Boston Red Sox,Boston Red Sox
718496,2023-04-20,Los Angeles Angels,New York Yankees,New York Yankees
718500,2023-04-20,Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates
718498,2023-04-20,Colorado Rockies,Philadelphia Phillies,Colorado Rockies
718499,2023-04-20,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers
718494,2023-04-20,San Diego Padres,Arizona Diamondbacks,San Diego Padres
718503,2023-04-20,New York Mets,San Francisco Giants,New York Mets
718491,2023-04-21,Los Angeles Dodgers,Chicago Cubs,Chicago Cubs
718492,2023-04-21,Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates
718486,2023-04-21,Chicago White Sox,Tampa Bay Rays,Tampa Bay Rays
718495,2023-04-21,Detroit Tigers,Baltimore Orioles,Baltimore Orioles
718493,2023-04-21,Colorado Rockies,Philadelphia Phillies,Colorado Rockies
718487,2023-04-21,Toronto Blue Jays,New York Yankees,Toronto Blue Jays
718489,2023-04-21,Houston Astros,Atlanta Braves,Houston Astros
718490,2023-04-21,Oakland Athletics,Texas Rangers,Texas Rangers
718482,2023-04-21,Washington Nationals,Minnesota Twins,Minnesota Twins
718483,2023-04-21,Boston Red Sox,Milwaukee Brewers,Boston Red Sox
718485,2023-04-21,Kansas City Royals,Los Angeles Angels,Los Angeles Angels
718484,2023-04-21,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks
718481,2023-04-21,St. Louis Cardinals,Seattle Mariners,St. Louis Cardinals
718480,2023-04-21,New York Mets,San Francisco Giants,New York Mets
718488,2023-04-22,Miami Marlins,Cleveland Guardians,Cleveland Guardians
718476,2023-04-22,Toronto Blue Jays,New York Yankees,New York Yankees
718468,2023-04-22,Washington Nationals,Minnesota Twins,Washington Nationals
718479,2023-04-22,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers
718475,2023-04-22,Colorado Rockies,Philadelphia Phillies,Philadelphia Phillies
718473,2023-04-22,Miami Marlins,Cleveland Guardians,Miami Marlins
718488,2023-04-22,Miami Marlins,Cleveland Guardians,Cleveland Guardians
718478,2023-04-22,New York Mets,San Francisco Giants,San Francisco Giants
718477,2023-04-22,Chicago White Sox,Tampa Bay Rays,Tampa Bay Rays
718474,2023-04-22,Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates
718472,2023-04-22,Detroit Tigers,Baltimore Orioles,Baltimore Orioles
718469,2023-04-22,Oakland Athletics,Texas Rangers,Oakland Athletics
718470,2023-04-22,Boston Red Sox,Milwaukee Brewers,Milwaukee Brewers
718471,2023-04-22,Houston Astros,Atlanta Braves,Atlanta Braves
718467,2023-04-22,San Diego Padres,Arizona Diamondbacks,San Diego Padres
718466,2023-04-22,Kansas City Royals,Los Angeles Angels,Kansas City Royals
718464,2023-04-22,St. Louis Cardinals,Seattle Mariners,St. Louis Cardinals
718458,2023-04-23,Colorado Rockies,Philadelphia Phillies,Philadelphia Phillies
718459,2023-04-23,Detroit Tigers,Baltimore Orioles,Detroit Tigers
718463,2023-04-23,Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates
718462,2023-04-23,Houston Astros,Atlanta Braves,Atlanta Braves
718465,2023-04-23,Toronto Blue Jays,New York Yankees,Toronto Blue Jays
718457,2023-04-23,Chicago White Sox,Tampa Bay Rays,Tampa Bay Rays
718460,2023-04-23,Miami Marlins,Cleveland Guardians,Miami Marlins
718454,2023-04-23,Washington Nationals,Minnesota Twins,Washington Nationals
718461,2023-04-23,Boston Red Sox,Milwaukee Brewers,Boston Red Sox
718451,2023-04-23,Los Angeles Dodgers,Chicago Cubs,Chicago Cubs
718453,2023-04-23,Oakland Athletics,Texas Rangers,Texas Rangers
718452,2023-04-23,Kansas City Royals,Los Angeles Angels,Kansas City Royals
718456,2023-04-23,San Diego Padres,Arizona Diamondbacks,San Diego Padres
718450,2023-04-23,St. Louis Cardinals,Seattle Mariners,St. Louis Cardinals
718455,2023-04-23,New York Mets,San Francisco Giants,San Francisco Giants
718448,2023-04-24,Colorado Rockies,Cleveland Guardians,Colorado Rockies
718447,2023-04-24,Boston Red Sox,Baltimore Orioles,Boston Red Sox
718449,2023-04-24,Houston Astros,Tampa Bay Rays,Houston Astros
718445,2023-04-24,Texas Rangers,Cincinnati Reds,Cincinnati Reds
718444,2023-04-24,Chicago White Sox,Toronto Blue Jays,Chicago White Sox
718443,2023-04-24,Miami Marlins,Atlanta Braves,Atlanta Braves
718442,2023-04-24,New York Yankees,Minnesota Twins,Minnesota Twins
718441,2023-04-24,Detroit Tigers,Milwaukee Brewers,Milwaukee Brewers
718437,2023-04-24,Oakland Athletics,Los Angeles Angels,Oakland Athletics
718438,2023-04-24,Kansas City Royals,Arizona Diamondbacks,Kansas City Royals
718446,2023-04-24,St. Louis Cardinals,San Francisco Giants,San Francisco Giants
718440,2023-04-25,Colorado Rockies,Cleveland Guardians,Colorado Rockies
718435,2023-04-25,Boston Red Sox,Baltimore Orioles,Boston Red Sox
718432,2023-04-25,Los Angeles Dodgers,Pittsburgh Pirates,Los Angeles Dodgers
718436,2023-04-25,Houston Astros,Tampa Bay Rays,Houston Astros
718434,2023-04-25,Texas Rangers,Cincinnati Reds,Texas Rangers
718430,2023-04-25,Seattle Mariners,Philadelphia Phillies,Seattle Mariners
718433,2023-04-25,Chicago White Sox,Toronto Blue Jays,Toronto Blue Jays
718431,2023-04-25,Washington Nationals,New York Mets,Washington Nationals
718429,2023-04-25,Miami Marlins,Atlanta Braves,Atlanta Braves
718426,2023-04-25,San Diego Padres,Chicago Cubs,Chicago Cubs
718427,2023-04-25,New York Yankees,Minnesota Twins,New York Yankees
718428,2023-04-25,Detroit Tigers,Milwaukee Brewers,Detroit Tigers
718425,2023-04-25,Oakland Athletics,Los Angeles Angels,Oakland Athletics
718422,2023-04-25,Kansas City Royals,Arizona Diamondbacks,Kansas City Royals
718439,2023-04-25,St. Louis Cardinals,San Francisco Giants,St. Louis Cardinals
