game_pk,hitter_name,hitter_team,hrs
718579,Sean Murphy,Atlanta Braves,1
718578,Aledmys Diaz,Oakland Athletics,1
718578,Brent Rooker,Oakland Athletics,1
718578,Francisco Lindor,New York Mets,1
718578,Shea Langeliers,Oakland Athletics,1
718574,Christian Yelich,Milwaukee Brewers,1
718574,Luis Campusano,San Diego Padres,1
718574,Rowdy Tellez,Milwaukee Brewers,2
718575,Chris Taylor,Los Angeles Dodgers,1
718575,Ian Happ,Chicago Cubs,1
718575,Max Muncy,Los Angeles Dodgers,1
718575,Patrick Wisdom,Chicago Cubs,1
718575,Seiya Suzuki,Chicago Cubs,1
718575,Yan Gomes,Chicago Cubs,2
718577,Jarred Kelenic,Seattle Mariners,1
718577,Kris Bryant,Colorado Rockies,1
718572,Anthony Rizzo,New York Yankees,1
718572,Kyle Higashioka,New York Yankees,1
718571,Blake Sabol,San Francisco Giants,1
718571,J.D. Davis,San Francisco Giants,1
718571,Kerry Carpenter,Detroit Tigers,1
718570,Anthony Santander,Baltimore Orioles,1
718570,Jake Burger,Chicago White Sox,1
718570,Jorge Mateo,Baltimore Orioles,1
718568,Andrew McCutchen,Pittsburgh Pirates,1
718568,Ke'Bryan Hayes,Pittsburgh Pirates,1
718569,Taylor Walls,Tampa Bay Rays,1
718573,Jose Ramirez,Cleveland Guardians,1
718560,Jake Cronenworth,San Diego Padres,2
718565,Mark Canha,New York Mets,1
718565,Pete Alonso,New York Mets,1
718576,Gio Urshela,Los Angeles Angels,1
718576,Rafael Devers,Boston Red Sox,1
718576,Yu Chang,Boston Red Sox,1
718566,Wil Myers,Cincinnati Reds,2
718563,Sean Murphy,Atlanta Braves,1
718567,Garrett Hampson,Miami Marlins,1
718564,Patrick Wisdom,Chicago Cubs,1
718561,Eugenio Suarez,Seattle Mariners,1
718559,Justin Turner,Boston Red Sox,1
718555,Jeimer Candelario,Washington Nationals,1
718555,Luis Garcia,Washington Nationals,1
718557,DJ LeMahieu,New York Yankees,1
718556,Christian Bethancourt,Tampa Bay Rays,1
718554,Bryson Stott,Philadelphia Phillies,1
718554,J.T. Realmuto,Philadelphia Phillies,1
718550,Corbin Carroll,Arizona Diamondbacks,1
718551,Ozzie Albies,Atlanta Braves,1
718551,Vinnie Pasquantino,Kansas City Royals,1
718553,Gavin Sheets,Chicago White Sox,1
718553,Jake Burger,Chicago White Sox,1
718548,Lars Nootbaar,St. Louis Cardinals,1
718546,Francisco Lindor,New York Mets,1
718546,Pete Alonso,New York Mets,1
718546,Tommy Pham,New York Mets,1
718547,Chris Taylor,Los Angeles Dodgers,1
718547,Cody Bellinger,Chicago Cubs,1
718547,Patrick Wisdom,Chicago Cubs,1
718552,Marcus Semien,Texas Rangers,1
718540,Hunter Renfroe,Los Angeles Angels,1
718542,Josh Lowe,Tampa Bay Rays,1
718542,Kevin Newman,Cincinnati Reds,1
718544,Jorge Soler,Miami Marlins,1
718539,Josh Jung,Texas Rangers,1
718539,Marcus Semien,Texas Rangers,1
718538,Alec Burleson,St. Louis Cardinals,1
718538,Ketel Marte,Arizona Diamondbacks,1
718538,Pavin Smith,Arizona Diamondbacks,1
718537,Corey Julks,Houston Astros,1
718537,Jake Meyers,Houston Astros,1
718537,Matt Chapman,Toronto Blue Jays,1
718537,Santiago Espinal,Toronto Blue Jays,1
718535,Andrew McCutchen,Pittsburgh Pirates,1
718535,Jack Suwinski,Pittsburgh Pirates,1
718535,Kris Bryant,Colorado Rockies,1
718536,Patrick Wisdom,Chicago Cubs,2
718533,Austin Riley,Atlanta Braves,1
718534,Brice Turang,Milwaukee Brewers,1
718534,Cal Raleigh,Seattle Mariners,1
718534,Julio Rodriguez,Seattle Mariners,1
718532,Daniel Vogelbach,New York Mets,1
718532,Freddie Freeman,Los Angeles Dodgers,2
718532,Max Muncy,Los Angeles Dodgers,1
718541,Riley Greene,Detroit Tigers,1
718543,Jake Burger,Chicago White Sox,1
718530,Kerry Carpenter,Detroit Tigers,1
718530,Oscar Gonzalez,Cleveland Guardians,1
718525,Josh Harrison,Philadelphia Phillies,1
718526,Randy Arozarena,Tampa Bay Rays,1
718526,Taylor Walls,Tampa Bay Rays,2
718526,Yandy Diaz,Tampa Bay Rays,1
718528,Jazz Chisholm Jr.,Miami Marlins,1
718528,Mike Yastrzemski,San Francisco Giants,1
718529,Shohei Ohtani,Los Angeles Angels,1
718524,Max Kepler,Minnesota Twins,1
718522,Adolis Garcia,Texas Rangers,1
718522,Marcus Semien,Texas Rangers,1
718527,Gabriel Moreno,Arizona Diamondbacks,1
718527,Paul Goldschmidt,St. Louis Cardinals,1
718527,Willson Contreras,St. Louis Cardinals,2
718520,Matt Chapman,Toronto Blue Jays,1
718520,Vladimir Guerrero Jr.,Toronto Blue Jays,1
718521,Jack Suwinski,Pittsburgh Pirates,2
718521,Kris Bryant,Colorado Rockies,1
718519,Matt Olson,Atlanta Braves,1
718519,Ozzie Albies,Atlanta Braves,1
718519,Sean Murphy,Atlanta Braves,1
718517,Christian Yelich,Milwaukee Brewers,1
718517,Willy Adames,Milwaukee Brewers,1
718516,J.D. Martinez,Los Angeles Dodgers,2
718515,Yandy Diaz,Tampa Bay Rays,1
718513,Jose Ramirez,Cleveland Guardians,1
718513,Spencer Torkelson,Detroit Tigers,1
718513,Zach McKinstry,Detroit Tigers,1
718511,Michael Conforto,San Francisco Giants,1
718511,Mike Yastrzemski,San Francisco Giants,1
718512,Alek Thomas,Arizona Diamondbacks,1
718512,Nolan Gorman,St. Louis Cardinals,1
718512,Pavin Smith,Arizona Diamondbacks,1
718512,Tommy Edman,St. Louis Cardinals,1
718514,Bobby Witt Jr.,Kansas City Royals,1
718514,Jonah Heim,Texas Rangers,1
718510,Andrew Vaughn,Chicago White Sox,1
718510,Brandon Marsh,Philadelphia Phillies,1
718510,Trea Turner,Philadelphia Phillies,1
718508,Brandon Nimmo,New York Mets,1
718508,David Peralta,Los Angeles Dodgers,1
718509,Andrew McCutchen,Pittsburgh Pirates,1
718509,Rodolfo Castro,Pittsburgh Pirates,1
718506,Eric Hosmer,Chicago Cubs,1
718507,Juan Soto,San Diego Padres,1
718502,Julio Rodriguez,Seattle Mariners,1
718518,Adam Frazier,Baltimore Orioles,1
718504,Aaron Judge,New York Yankees,1
718505,Edouard Julien,Minnesota Twins,1
718505,Enrique Hernandez,Boston Red Sox,1
718505,Joey Gallo,Minnesota Twins,1
718505,Trevor Larnach,Minnesota Twins,1
718501,Jeremy Pena,Houston Astros,1
718497,Alex Verdugo,Boston Red Sox,1
718497,Willi Castro,Minnesota Twins,1
718497,Yu Chang,Boston Red Sox,1
718500,Connor Joe,Pittsburgh Pirates,1
718500,Jack Suwinski,Pittsburgh Pirates,1
718498,C.J. Cron,Colorado Rockies,1
718499,Cody Bellinger,Chicago Cubs,1
